BookID,author,bookName,number,PreferentialPrice,press,price
11678007,加·泽文,岛上书店　【荐书联盟推荐】, 01 ,24.10,江苏凤凰文艺出版社,35.00
11712392,尼克·柯雷恩,世界地图：跟爸爸一起去旅行（百科知识版）大开本、精装绘本, 02 ,36.30,成都地图出版社,58.00
11731382,马伯庸,文化不苦旅：重走诸葛亮北伐之路, 03 ,31.30,四川人民出版社,42.80
10096879,乔斯坦·贾德,苏菲的世界, 04 ,15.90,作家出版社,26.00
10829742,美国纽约摄影学院,美国纽约摄影学院摄影教材（套装共2册）, 05 ,147.00,中国摄影出版社,196.00
11258976,卡勒德·胡赛尼,追风筝的人, 06 ,17.70,上海人民出版社,29.00
10076998,斯塔夫里阿诺斯,全球通史 从史前史到21世纪（ 第7版 修订版 中文版 套装上下册）（赠送精美地 ..., 07 ,72.00,北京大学出版社,96.00
11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 08 ,20.00,百花洲文艺出版社,36.00
11900121,采铜,精进：如何成为一个很厉害的人, 09 ,23.80,江苏凤凰文艺出版社,38.00
11915024,海莲·汉芙,查令十字街84号（珍藏版）（汤唯、吴秀波主演北京遇上西雅图2）, 10 ,22.50,译林出版社,35.00
11749318,田涛,下一个倒下的会不会是华为：故事、哲学与华为的兴衰逻辑, 11 ,43.40,中信出版集团,58.00
11018526,马克·李维,偷影子的人（随书附精美卡片）, 12 ,18.50,湖南文艺出版社,29.80
11452840,东野圭吾,解忧杂货店, 13 ,27.30,南海出版公司,39.50
11017970,凯利·麦格尼格尔,自控力, 14 ,28.40,印刷工业出版社（2015年更名为  文化发展出版社）,39.80
11879942,刘同,向着光亮那方·谁的青春不迷茫系列之三（京东随机赠送电影《谁的青春不迷茫》刘同亲历 ..., 15 ,28.40,中信出版集团,42.00
11920370,咪蒙,我喜欢这个功利的世界, 16 ,25.80,湖南文艺出版社,38.00
11244689,克利斯提昂·约里波瓦,不一样的卡梅拉手绘版·第一季（套装12册）, 17 ,78.00,二十一世纪出版社,120.00
11391409,龙应台,龙应台“人生三书”之一 孩子你慢慢来（插图新版）, 18 ,17.90,广西师范大学出版社,29.80
11571255,尹建莉,[荐书联盟推荐]好妈妈胜过好老师：一个教育专家16年的教子手记（纪念版）, 19 ,24.20,作家出版社,38.00
11886203,杰克·韦尔奇,商业的本质, 20 ,36.40,中信出版集团,49.00
